observationID,scorer_ID,land,dur,att_dur,att_count,att_mean,att_sd,att_por,cop_dur,cop_mean,cop_sd,cop_por,agg_count,avo_count,intro_dur,intro_count,intro_mean,intro_sd,intro_por,vib_dur,vib_count,vib_mean,vib_sd,vib_por,sp,color,exp_ID,exp_date,time,temp,male_ID,male_age,female_ID,female_age,male_mass,female_mass,cop_count,cop_lat
pt_amerF23522xamerM23022,LY,5.933,326.33,175.769,5,35.154,33.802,0.539,37.52,37.52,0,0.115,1,0,152.741,5,30.548,31.902,0.468,9.491,2,4.746,3.166,0.029,amer,red,LY,10/10,14:16,27.4,amer23022,NA,amer23522,99,0.01506,0.02281,1,280.968
pt_amerF23523xamerM23104,LY,3.19,357.36,215.704,4,53.926,58.315,0.604,15.301,15.301,0,0.043,0,0,101.05,3,33.683,25.498,0.283,18.127,3,6.042,7.056,0.051,amer,red,LY,9/26,13:06,26.8,amer23104,NA,amer23523,47,0.01906,0.02745,1,326.946
pt_amerF23527xamerM23042,LY,33.456,960.46,476.997,23,20.739,29.231,0.497,17.751,17.751,0,0.018,2,0,58.487,2,29.244,11.657,0.061,9.031,1,9.031,0,0.009,amer,red,LY,10/10,12:09,26.3,amer23042,NA,amer23527,91,0.01377,0.03638,1,904.706
pt_amerF23531xamerM23031,LY,6.179,924.92,279.958,22,12.725,11.223,0.303,0,0,0,0,0,0,181.281,6,30.213,29.122,0.196,0,0,0,0,0,amer,brown,LY,10/10,13:07,26.6,amer23031,NA,amer23531,91,0.01582,0.01981,0,
pt_amerF23532xamerM23024,LY,3.437,921.42,239.335,21,11.397,15.917,0.26,0,0,0,0,0,0,113.554,3,37.851,45.73,0.123,0,0,0,0,0,amer,brown,LY,10/20,15:34,26.5,amer23024,NA,amer23532,95,0.01445,0.03,0,
pt_amerF23544xamerM23101,LY,4.435,330.83,220.125,1,220.125,0,0.665,20.481,20.481,0,0.062,6,0,131.599,8,16.45,17.951,0.398,51.539,7,7.363,3.309,0.156,amer,brown,LY,10/5,12:41,26.4,amer23101,NA,amer23544,54,0.01798,0.03387,1,303.657
pt_amerF23545xamerM23048,LY,3.422,132.63,64.705,2,32.352,13.918,0.488,43.009,43.009,0,0.324,1,0,26.983,1,26.983,0,0.203,6.01,1,6.01,0,0.045,amer,red,NH,10/13,11:48,26.9,amer23048,NA,amer23545,92,0.0187,0.0362,1,82.252
pt_amerF23547xamerM23086,LY,7.19,837.34,375.487,21,17.88,23.737,0.448,0,0,0,0,0,0,82.963,4,20.741,18.817,0.099,0,0,0,0,0,amer,brown,LY,10/5,14:14,27.2,amer23086,NA,amer23547,39,0.01514,0.02219,0,
pt_amerF23548xamerM23062,LY,13.674,918.92,575.437,12,47.953,61.204,0.626,0,0,0,0,5,0,236.502,3,78.834,55.722,0.257,0,0,0,0,0,amer,red,LY,10/5,12:18,27.1,amer23002,NA,amer23548,41,0.0138,0.03296,0,
pt_amerF23704xamerM23063,LY,3.941,141.64,87.331,1,87.331,0,0.617,17.743,17.743,0,0.125,0,0,43.563,1,43.563,0,0.308,8.259,1,8.259,0,0.058,amer,brown,LY,9/26,13:21,27.2,amer23063,NA,amer23704,45,0.01523,0.0325,1,118.358
